code,default,vn,en,kr
vui.lòng.nhập.thời.gian,"Vui lòng nhập thời gian",,,
vui.lòng.nhập.đầy.đủ.điểm.đi.và.điểm.đón,"Vui lòng nhập đầy đủ điểm đi và điểm đón",,,
chat.vơi.gocheap,"Chát với GoCheap",,,
call.cho.gocheap,"Call cho GoCheap",,,
chat.zalo.vơi.gocheap,"Chát Zalo với GoCheap",,,
mail.cho.gocheap,"Mail cho GoCheap",,,
điểm.đón,"Điểm đón",,,
điểm.đến,"Điểm đến",,,
xem.giá,"Xem Giá",,,
một.chiều,"Một chiều",,,
hai.chiều,"Hai chiều",,,
đề.nghị.gọi.lại,"Đề nghị gọi lại",,,
số.điểm.đón.khách,"Số điểm đón
                            khách",,,
đặt.ngay,"Đặt Ngay",,"Book Now",
họ.tên,"Họ Tên",,,
số.điện.thoại,"Số điện thoại",,,
nhập.email,"Nhập Email",,,
điện.thoại,"Điện thoại",,,
yêu.câu.hoa.đơn.công.thêm.10.gia.dich.vu.tinh.vao.gia.khi.kêt.thuc.chuyên,"Yêu cầu hóa đơn (cộng thêm 10% giá dịch vụ, tính vào giá khi kết
                            thúc chuyến)",,,
tên.công.ty,"Tên công ty",,,
điạ.chỉ.công.ty,"Điạ chỉ công ty",,,
mã.số.thuế,"Mã số thuế",,,
điền.email,"Điền Email",,,
các.câu.hỏi.thường.găp,"Các câu hỏi thường găp",,,
tóm.tắt,"Tóm tắt",,,
đặt.xe,"Đặt xe",,,
đăng.ký.đăng.nhập,"Đăng Ký & Đăng Nhập",,,
đăng.nhập,"Đăng Nhập",,,
email,Email,,,
password,Password,,,
nhập.mật.khẩu,"Nhập mật khẩu",,,
đăng.nhập.với.facebook,"Đăng Nhập Với Facebook",,,
đăng.ký,"Đăng Ký",,,
repassword,RePassword,,,
nhập.lại.mật.khẩu,"Nhập lại mật khẩu",,,
dịch.vụ,"Dịch vụ",,Service,
tại.sao.chọn.gocheap,"Tại sao chọn GOCHEAP",,"Why us",
bảng.giá,"Bảng giá",,Price,
tài.xế,"Tài xế",,Driver,
báo.chí.nói.về.gocheap,"Báo chí nói về GOCHEAP",,"About us",
dịch.vụ.tài.xế,"Dịch vụ tài xế",,"Premium Driver",
lái.xe.cao.cấp,"lái xe cao cấp",,"Rental Service",
sẵn.sàng.sau.30p,"Sẵn sàng sau 30p",,"Ready in 30 minutes",
an.toàn.tin.cậy,"An toàn & Tin cậy",,"Safe and Trustworthy",
dịch.vụ.đẳng.cấp,"Dịch vụ đẳng cấp",,"Be Professional",
tài.xế.lái.xe.hộ.driverx.sẽ.chở.khách.hàng.tới.bất.kỳ.địa.điểm.nào.theo.khung.giờ.đã.đăng.ký.đặc.biệt.là.tài.xế.lái.xe.cho.người.say.rượu.hoặc.city.tours,"Tài xế lái xe hộ DriverX sẽ chở khách hàng tới bất kỳ địa điểm nào theo khung giờ đã đăng ký, đặc biệt là tài xế lái xe cho người say rượu hoặc city tours.",,,
tài.xế.theo.ngày,"Tài xế theo ngày",,,
tài.xế.lái.xe.hộ.driverx.sẽ.phục.vụ.khách.hàng.tới.bất.kỳ.địa.điểm.nào.theo.ngày.đã.đăng.ký.thích.hợp.với.người.đi.công.tác.đường.dài.du.lịch.hay.về.quê.ngắn.ngày,"Tài xế lái xe hộ DriverX sẽ phục vụ khách hàng tới bất kỳ địa điểm nào theo ngày đã đăng ký, thích hợp với người đi công tác đường dài, du lịch hay về quê ngắn ngày.",,,
tài.xế.theo.yêu.cầu,"Tài xế theo yêu cầu",,,
tài.xế.lái.xe.hộ.driverx.sẽ.phục.vụ.khách.hàng.theo.yêu.cầu.đặc.biệt.đã.đăng.ký.phù.hợp.với.các.dịp.nghỉ.lễ.tết.hay.sự.kiện.đặc.biệt.không.quá.30.ngày,"Tài xế lái xe hộ DriverX sẽ phục vụ khách hàng theo yêu cầu đặc biệt đã đăng ký, phù hợp với các dịp nghỉ lễ, Tết hay sự kiện đặc biệt không quá 30 ngày.",,,
dịch.vụ.tài.xế.lái.xe.cao.cấp.driverx,"Dịch vụ tài xế lái xe cao cấp DriverX",,,
thấu.hiểu.được.những.nỗi.lo.lắng.và.bận.tâm.của.khách.hàng.về.bsự.an.toànb.của.mỗi.chuyến.đi.và.giúp.chủ.xe.thực.hiện.đúng.bnghị.định.100b.của.chính.phủ,"Thấu hiểu được những nỗi lo lắng và bận tâm của khách hàng về <b>sự an toàn</b> của mỗi chuyến đi và giúp chủ xe thực hiện đúng <b>nghị định 100</b> của Chính Phủ",,,
gocheap.cho.ra.đời.dịch.vụ.cho.thuê.tài.xế.lái.xe.cao.cấp.với.phương.châm.khách.hàng.là.trên.hết,"GOCHEAP cho ra đời dịch vụ cho thuê tài xế lái xe cao cấp với phương châm KHÁCH HÀNG LÀ TRÊN HẾT.",,,
khi.được.phục.vụ.bởi.dịch.vụ.lái.xe.hộ.driverx.chúng.tôi.muốn.khách.hàng.có.những.btrải.nghiệmb.tốt.nhất,"Khi được phục vụ bởi Dịch vụ lái xe hộ DriverX chúng tôi muốn khách hàng có những <b>trải nghiệm</b> tốt nhất,",,,
những.chuyến.đi.ban.toànb.và.bthoải.máib.nhất,"những chuyến đi <b>an toàn</b> và <b>thoải mái</b> nhất.",,,
tận.hưởng.chuyến.đi.an.toàn.nhanh.chóng,"Tận hưởng chuyến đi an toàn nhanh chóng",,,
giá.cước.trọn.gói.tốt.nhất.trên.thị.trường,"Giá cước trọn gói, tốt nhất trên thị trường.",,,
chỉ.cần.chọn.điểm.đi.điểm.đến.và.chọn.ngày.giờ.mong.muốn,"Chỉ cần chọn điểm đi, điểm đến và chọn ngày giờ mong muốn.",,,
chúng.tôi.sẽ.chọn.lọc.và.sắp.xếp.cho.bạn.tài.xế.lái.xe.phù.hợp.nhất,"Chúng tôi sẽ chọn lọc và sắp xếp cho bạn tài xế lái xe phù hợp nhất.",,,
we.will.arrange.the.most.suitable.driver,"(We will arrange the most suitable driver)",,,
chất.lượng.dịch.vụ.sang.trọng.đẳng.cấp,"Chất lượng dịch vụ sang trọng, đẳng cấp",,,
hoàn.100.chi.phí.nếu.khách.không.hài.lòng.tài.xế.lái.xe.riêng.đưa.đón.theo.yêu.cầu.cá.nhân.của.khách.hàng.private.driver.to.pick.up.and.drop.off.according.to.customers.personal.request,"Hoàn 100% chi phí nếu khách không hài lòng. Tài xế lái xe riêng đưa đón theo yêu cầu cá nhân của khách hàng. (Private driver to pick up and drop off according to customer's personal request)",,,
tiêu.chuẩn.phục.vụ.kim.cương,"Tiêu chuẩn phục vụ kim cương",,,
chuyến.đi.an.toàn.phải.bắt.đầu.từ.người.tài.xế.lái.xe.đáng.tin.cậy,"Chuyến đi an toàn, phải bắt đầu từ người tài xế lái xe đáng tin cậy.",,,
các.bđối.tác.tài.xếb.luôn.được.trang.bị.sẵn.sàng.để.xử.lý.với.bất.kỳ.vấn.đề.nào.phát.sinh.trên.đường.đi,"Các <b>Đối tác Tài Xế</b> luôn được trang bị sẵn sàng để xử lý với bất kỳ vấn đề nào phát sinh trên đường đi.",,,
driver.partners.are.always.ready,"(Driver Partners are always ready)",,,
đội.ngũ.tài.xế.giàu.kinh.nghiệm,"Đội ngũ tài xế giàu kinh nghiệm",,,
với.đôi.ngu.tai.xê.giau.kinh.nghiêm.đươc.tuyên.chon.va.đào.tạo.vô.cùng.bài.bản,"Với đội ngũ tài xế giàu kinh nghiệm được tuyển chọn và đào tạo vô cùng bài bản.",,,
gocheap.driverx.mong.muốn.chủ.phương.tiện.luôn.cảm.thấy.thoải.mái,"GOCHEAP DriverX mong muốn chủ phương tiện luôn cảm thấy thoải mái.",,,
experienced.team.of.drivers,"(Experienced team of drivers)",,,
quy.định.thuê.tài.xế,"Quy định thuê tài xế",,,
tài.xế.theo.giờ,"Tài xế theo giờ",,,
499k,499K,,,
4h.nội.thành,"/4h, nội thành",,,
hủy.chuyến.trước.30.phút.đền.bù.50.cước.phí.brphụ.trội.thời.gian.qua.đêm.km.xin.liên.hệ,"Hủy chuyến trước 30 phút đền bù 50% cước phí </br>Phụ trội thời gian, qua đêm, km xin liên hệ ",,,
999k,999K,,,
10h.ngoại.tỉnh,"/10h, ngoại tỉnh",,,
200km,200KM,,,
1.ngày.ngoại.tỉnh,"/1 ngày, ngoại tỉnh",,,
thông.tin.tài.xế,"Thông tin tài xế",,,
phạm.khắc.việt,"Phạm Khắc Việt",,,
với.tay.lái.nhiều.năm.kinh.nghiệm.tài.xế.khắc.việt.cẩn.thận.trong.từng.đoạn.đường,"Với tay lái nhiều năm kinh nghiệm Tài xế Khắc Việt cẩn thận trong từng đoạn đường,",,,
thận.trọng.trong.từng.lời.nói.sẽ.luôn.làm.quý.khách.hàng.hài.lòng,"thận trọng trong từng lời nói sẽ luôn làm quý khách hàng hài lòng.",,,
phạm.việt.tiệp,"Phạm Việt Tiệp",,,
là.tài.xế.lâu.năm.được.học.bài.bản.lái.taxi.chuyên.nghiệp.nhưng.cũng.tốt.nghiệp.đại.học.về.kinh.doanh,"Là Tài xế lâu năm, được học bài bản lái Taxi chuyên nghiệp nhưng cũng tốt nghiệp Đại học về kinh doanh,",,,
lái.xe.việt.tiệp.luôn.chiếm.được.nhiều.cảm.tình.của.khách.hàng,"Lái xe Việt Tiệp luôn chiếm được nhiều cảm tình của khách hàng",,,
quốc.hùng,"Quốc Hùng",,,
vũ.quốc.hùng,"Vũ Quốc Hùng",,,
độ.tuổi.chứng.tỏ.đẳng.cấp.là.một.tài.xế.già.dơ,"Độ tuổi chứng tỏ đẳng cấp, là một tài xế già dơ,",,,
lái.xe.quốc.hùng.tuy.tuổi.không.còn.trẻ.nhưng.luôn.hoạt.bát.và.trò.chuyện.vui.vẻ.sẽ.làm.cho.mọi.người.yên.tâm.và.sảng.khoái,"Lái xe Quốc Hùng tuy tuổi không còn trẻ nhưng luôn hoạt bát và trò chuyện vui vẻ sẽ làm cho mọi người yên tâm và sảng khoái",,,
tuấn.hà,"Tuấn Hà",,,
nguyễn.tuấn.hà,"Nguyễn Tuấn Hà",,,
đẳng.cấp.lái.xe.cho.sếp,"Đẳng cấp lái xe cho sếp,",,,
tài.xế.tuấn.hà.nhiều.năm.kinh.nghiệm.lái.xe.cho.giám.đốc.không.ngại.bất.cứ.dòng.xe.nào,"Tài xế Tuấn Hà nhiều năm kinh nghiệm lái xe cho giám đốc, không ngại bất cứ dòng xe nào,",,,
tết.2021.anh.đã.phục.vụ.dòng.phantom.limit.suốt.cả.tuần.lễ,"Tết 2021 Anh đã phục vụ dòng Phantom limit suốt cả tuần lễ",,,
xuân.chinh,"Xuân Chinh",,,
trịnh.xuân.chinh,"Trịnh Xuân Chinh",,,
sinh.ra.ở.phú.thọ.và.nhiều.năm.làm.việc.cho.taxi.mai.linh,"Sinh ra ở Phú Thọ và nhiều năm làm việc cho Taxi Mai Linh,",,,
lái.xe.xuân.chinh.ngoài.vẻ.đẹp.trai.anh.còn.có.nhiều.kinh.nghiệm.làm.việc.suốt.nhiều.năm.trên.khắp.mọi.nẻo.đường,"Lái xe Xuân Chinh ngoài vẻ đẹp trai anh còn có nhiều kinh nghiệm làm việc suốt nhiều năm trên khắp mọi nẻo đường",,,
huy.trương,"Huy Trương",,,
trương.quang.huy,"Trương Quang Huy",,,
được.biệt.danh.là.huy.vinfast.vì.cứ.khách.thuê.lái.xe.huy.trương.là.đều.bắt.anh.lái.xe.vinfast.từ.lux.đến.suv,"Được biệt danh là Huy Vinfast vì cứ khách thuê Lái xe Huy Trương là đều bắt anh lái xe VinFast từ Lux đến SUV",,,
đức.độ,"Đức Độ",,,
phạm.đức.độ,"Phạm Đức Độ",,,
khác.với.huy.trương.lái.xe.đức.độ.lại.bén.duyên.với.dòng.xe.mecerdes,"Khác với Huy Trương, Lái xe Đức Độ lại bén duyên với dòng xe Mecerdes,",,,
bởi.vì.đa.số.khách.của.đức.độ.đi.xe.mec.anh.rất.cẩn.thận.và.điềm.tĩnh.khi.lái.xe,"bởi vì đa số khách của Đức Độ đi xe Mec. Anh rất cẩn thận và điềm tĩnh khi lái xe!",,,
đỗ.dũng,"Đỗ Dũng",,,
đỗ.đức.dũng,"Đỗ Đức Dũng",,,
dũng.đỗ.là.lái.xe.sang.cao.cấp.nhất.driverx,"Dũng Đỗ là lái xe sang cao cấp nhất DriverX.",,,
anh.cộng.tác.với.gocheap.nhiều.năm.trước.đây.là.lái.đủ.các.dòng.xe.sang.của.khách.hàng,"Anh cộng tác với GOCHEAP nhiều năm trước đây là lái đủ các dòng xe sang của khách hàng",,,
gocheap.driverx.là.đơn.vị.đầu.tiên.tại.hà.nội.cung.cấp.dịch.vụ.cho.thuê.tài.xế.lái.xe.hộ.chuyên.nghiệp,"GOCHEAP DriverX là đơn vị đầu tiên tại Hà Nội cung cấp dịch vụ cho thuê tài xế lái xe hộ chuyên nghiệp!",,,
thời.sự.vtv1,"(Thời sự VTV1)",,VTV1,
gocheap.driverx.tuyển.dụng,"GOCHEAP DriverX tuyển dụng",,,
driverx.tuyển.dụng,"DriverX tuyển dụng",,,
mỗi.tài.xế.lái.xe.khi.đến.với.gocheap.đều.phải.trải.qua.các.vòng.tuyển.chọn.nghiêm.ngặt.với.nhiều.tiêu.chí.khắt.khe.để.đảm.bảo.khách.hàng.có.những.chuyến.đi.an.toàn,"Mỗi tài xế lái xe khi đến với GOCHEAP đều phải trải qua các vòng tuyển chọn nghiêm ngặt với nhiều tiêu chí khắt khe để đảm bảo khách hàng có những chuyến đi an toàn,",,,
thoải.mái.và.được.phục.vụ.tốt.nhất,"thoải mái và được phục vụ tốt nhất!",,,
dịch.vụ.lái.xe.hộ.driverx,"Dịch vụ lái xe hộ DriverX",,,
lái.xe.cho.người.say,"Lái xe cho người say",,,
dịch.vụ.lái.xe.hộ.driverx.được.bình.chọn.là.dịch.vụ.cho.thuê.tài.xế.lái.xe.cao.cấp.tốt.nhất.tại.hà.nội,"Dịch vụ lái xe hộ DriverX được bình chọn là dịch vụ cho thuê tài xế lái xe cao cấp tốt nhất tại Hà Nội!",,,
gocheap.hoạt.động.liên.tỉnh,"GOCHEAP hoạt động liên tỉnh",,,
cho.thuê.tài.xế.tại.tphcm,"cho thuê tài xế tại tphcm",,,
gocheap.driverx.đã.hoạt.động.và.triển.khai.dịch.vụ.cho.thuê.tài.xế.tại.tphcm.dịch.vụ.cho.thuê.tài.xế.tại.hải.phòng,"GOCHEAP DriverX đã hoạt động và triển khai dịch vụ cho thuê tài xế tại TPHCM, dịch vụ cho thuê tài xế tại Hải Phòng,",,,
dịch.vụ.cho.thuê.tài.xế.tại.hạ.long.dịch.vụ.cho.thuê.tài.xế.tại.đà.nẵng,"dịch vụ cho thuê tài xế tại Hạ Long, dịch vụ cho thuê tài xế tại Đà Nẵng...",,,
app.lái.xe.hộ,"App Lái xe hộ",,,
với.nỗ.lực.ứng.dụng.công.nghệ.vào.dịch.vụ,"Với nỗ lực ứng dụng công nghệ vào dịch vụ,",,,
gocheap.driverx.đã.phát.triển.app.lái.xe.hộ.nhằm.đem.đến.sự.tiện.lợi.và.trải.nghiệm.cao.cấp.đến.với.khách.hàng,"GOCHEAP DriverX đã phát triển app lái xe hộ nhằm đem đến sự tiện lợi và trải nghiệm cao cấp đến với khách hàng.",,,
công.ty.dịch.vụ.uy.tín,"Công ty dịch vụ uy tín",,,
công.ty.dịch.vụ.cho.thuê.tài.xế.lái.xe,"công ty dịch vụ cho thuê tài xế lái xe",,,
là.công.ty.dịch.vụ.cho.thuê.tài.xế.lái.xe.hộ,"Là công ty dịch vụ cho thuê tài xế lái xe hộ.",,,
gocheap.cung.cấp.đầy.đủ.hợp.đồng.cho.thuê.tài.xế.lái.xe.và.hóa.đơn.điện.tử.đầy.đủ,"GOCHEAP cung cấp đầy đủ hợp đồng cho thuê tài xế lái xe và hóa đơn điện tử đầy đủ.",,,
yêu.cầu.gọi.lại,"Yêu cầu gọi lại",,,
tên.tối.thiểu.2.ký.tự.và.không.chứa.số,"Tên tối thiểu 2  ký tự và không chứa số",,,
họ.và.tên,"Họ và tên",,,
số.điện.thoại.nên.có.10.số,"Số điện thoại nên có 10 số",,,
để.lại.lời.nhắn.cho.chúng.tôi,"Để lại lời nhắn cho chúng tôi",,,
2021.công.ty.cổ.phần.tư.vấn.và.triển.khai.công.nghệ.thiên.ân,"© 2021 Công ty Cổ phần tư vấn và triển khai công nghệ Thiên Ân",,,
địa.chỉ.tầng.3.toà.b.việt.đức.complex.số.39.lê.văn.lương.thanh.xuân.hà.nội,"Địa chỉ: Tầng 3, Toà B, Việt Đức Complex, Số 39 Lê Văn Lương, Thanh Xuân, Hà Nội.",,,
chi.nhánh.hồ.chí.minh,"Chi nhánh Hồ Chí Minh",,,
địa.chỉ.42.ngô.quang.huy.thảo.điền.quận.2.thành.phố.hồ.chí.minh.vietnam,"Địa chỉ: 42 Ngô Quang Huy, Thảo Điền, Quận 2, Thành phố Hồ Chí Minh, Vietnam.",,,
hotline,Hotline:,,,
mạng.xã.hội,"Mạng xã hội",,,
gọi.điện.thoại.driverx,"gọi điện thoại driverx",,,
gọi.điện,"Gọi Điện",,,
bản.đồ.đến.gocheap,"bản đồ đến GoCheap",,,
bản.đồ,"Bản đồ",,,
